iter	Passed	Remaining
286	981	2438
287	982	2428
288	983	2419
289	984	2409
290	985	2400
291	987	2393
292	989	2388
293	990	2379
294	992	2371
295	993	2362
296	994	2353
297	995	2344
298	996	2336
299	997	2327
300	998	2318
301	999	2309
302	1000	2300
303	1003	2296
304	1004	2288
305	1005	2280
306	1007	2273
307	1008	2265
308	1009	2256
309	1010	2248
310	1010	2239
311	1011	2231
312	1012	2223
313	1013	2214
314	1015	2207
315	1018	2205
316	1020	2197
317	1020	2189
318	1021	2181
319	1022	2173
320	1023	2165
321	1024	2157
322	1025	2149
323	1026	2141
324	1027	2134
325	1032	2135
326	1034	2128
327	1035	2121
328	1036	2113
329	1037	2106
330	1038	2098
331	1039	2090
332	1040	2083
333	1042	2078
334	1044	2072
335	1046	2068
336	1047	2061
337	1049	2055
338	1050	2049
339	1052	2042
340	1053	2035
341	1055	2030
342	1057	2024
343	1058	2018
344	1059	2011
345	1060	2004
346	1061	1998
347	1062	1991
348	1063	1984
349	1065	1978
350	1066	1972
351	1068	1967
352	1070	1961
353	1072	1957
354	1074	1952
355	1075	1946
356	1076	1939
357	1077	1932
358	1078	1926
359	1079	1919
360	1080	1913
361	1083	1909
362	1085	1904
363	1086	1898
364	1087	1891
365	1088	1885
366	1089	1878
367	1090	1872
368	1091	1866
369	1092	1859
370	1094	1855
371	1095	1849
372	1098	1847
373	1100	1841
374	1101	1835
375	1102	1829
376	1103	1822
377	1104	1817
378	1105	1810
379	1106	1804
380	1107	1798
381	1108	1792
382	1109	1786
383	1109	1780
384	1112	1777
385	1114	1773
386	1116	1768
387	1117	1763
388	1118	1757
389	1119	1751
390	1121	1746
391	1122	1740
392	1123	1734
393	1124	1728
394	1125	1724
395	1129	1722
396	1130	1717
397	1132	1712
398	1133	1707
399	1135	1702
400	1136	1697
401	1137	1692
402	1138	1687
403	1145	1689
404	1146	1684
405	1147	1679
406	1149	1674
407	1150	1669
408	1152	1665
409	1154	1661
410	1159	1660
411	1161	1657
412	1168	1660
413	1170	1657
414	1172	1653
415	1174	1649
416	1176	1644
417	1187	1653
418	1190	1650
419	1198	1654
420	1200	1650
421	1202	1647
422	1204	1642
423	1205	1637
424	1207	1633
425	1213	1634
426	1214	1629
427	1215	1625
428	1217	1619
429	1218	1615
430	1219	1610
431	1221	1605
432	1223	1601
433	1225	1598
434	1227	1594
435	1229	1590
